orig.isocode,orig.name,orig.region,orig.majorarea,dest.isocode,dest.name,dest.name,dest.region,pop.mig (in thousands)
FRA,France,Western Europe,Europe,ARE,United Arab Emirates,Western Asia,Asia,23.44
AUT,Austria,Western Europe,Europe,AUS,Australia,Australia/New Zealand,Oceania,20.434
FRA,France,Western Europe,Europe,AUS,Australia,Australia/New Zealand,Oceania,39.107
DEU,Germany,Western Europe,Europe,AUS,Australia,Australia/New Zealand,Oceania,134.664
NLD,Netherlands,Western Europe,Europe,AUS,Australia,Australia/New Zealand,Oceania,91.358
CHE,Switzerland,Western Europe,Europe,AUS,Australia,Australia/New Zealand,Oceania,15.75
DEU,Germany,Western Europe,Europe,AUT,Austria,Western Europe,Europe,223.705
CHE,Switzerland,Western Europe,Europe,AUT,Austria,Western Europe,Europe,15.802
FRA,France,Western Europe,Europe,BEL,Belgium,Western Europe,Europe,170.858
DEU,Germany,Western Europe,Europe,BEL,Belgium,Western Europe,Europe,44.268
NLD,Netherlands,Western Europe,Europe,BEL,Belgium,Western Europe,Europe,160.363
FRA,France,Western Europe,Europe,BRA,Brazil,South America,Latin America and the Caribbean,11.411
DEU,Germany,Western Europe,Europe,BRA,Brazil,South America,Latin America and the Caribbean,19.389
AUT,Austria,Western Europe,Europe,CAN,Canada,Northern America,Northern America,19.2
BEL,Belgium,Western Europe,Europe,CAN,Canada,Northern America,Northern America,23.119
FRA,France,Western Europe,Europe,CAN,Canada,Northern America,Northern America,122.212
DEU,Germany,Western Europe,Europe,CAN,Canada,Northern America,Northern America,186.592
NLD,Netherlands,Western Europe,Europe,CAN,Canada,Northern America,Northern America,109.581
CHE,Switzerland,Western Europe,Europe,CAN,Canada,Northern America,Northern America,22.566
AUT,Austria,Western Europe,Europe,CHE,Switzerland,Western Europe,Europe,65.09
BEL,Belgium,Western Europe,Europe,CHE,Switzerland,Western Europe,Europe,16.243
FRA,France,Western Europe,Europe,CHE,Switzerland,Western Europe,Europe,152.058
DEU,Germany,Western Europe,Europe,CHE,Switzerland,Western Europe,Europe,362.506
NLD,Netherlands,Western Europe,Europe,CHE,Switzerland,Western Europe,Europe,31.367
DEU,Germany,Western Europe,Europe,CHL,Chile,South America,Latin America and the Caribbean,12.169
FRA,France,Western Europe,Europe,COG,Congo,Middle Africa,Africa,10.32
DEU,Germany,Western Europe,Europe,CZE,Czech Republic,Eastern Europe,Europe,15.209
AUT,Austria,Western Europe,Europe,DEU,Germany,Western Europe,Europe,257.583
BEL,Belgium,Western Europe,Europe,DEU,Germany,Western Europe,Europe,34.947
FRA,France,Western Europe,Europe,DEU,Germany,Western Europe,Europe,145.806
LUX,Luxembourg,Western Europe,Europe,DEU,Germany,Western Europe,Europe,20.941
NLD,Netherlands,Western Europe,Europe,DEU,Germany,Western Europe,Europe,139.292
CHE,Switzerland,Western Europe,Europe,DEU,Germany,Western Europe,Europe,84.294
DEU,Germany,Western Europe,Europe,DNK,Denmark,Northern Europe,Europe,36.937
BEL,Belgium,Western Europe,Europe,ESP,Spain,Southern Europe,Europe,43.052
FRA,France,Western Europe,Europe,ESP,Spain,Southern Europe,Europe,201.769
DEU,Germany,Western Europe,Europe,ESP,Spain,Southern Europe,Europe,200.87
NLD,Netherlands,Western Europe,Europe,ESP,Spain,Southern Europe,Europe,46.181
CHE,Switzerland,Western Europe,Europe,ESP,Spain,Southern Europe,Europe,61.401
AUT,Austria,Western Europe,Europe,FRA,France,Western Europe,Europe,12.559
BEL,Belgium,Western Europe,Europe,FRA,France,Western Europe,Europe,153.22
DEU,Germany,Western Europe,Europe,FRA,France,Western Europe,Europe,233.627
LUX,Luxembourg,Western Europe,Europe,FRA,France,Western Europe,Europe,12.888
MCO,Monaco,Western Europe,Europe,FRA,France,Western Europe,Europe,24.947
NLD,Netherlands,Western Europe,Europe,FRA,France,Western Europe,Europe,43.838
CHE,Switzerland,Western Europe,Europe,FRA,France,Western Europe,Europe,95.267
FRA,France,Western Europe,Europe,GAB,Gabon,Middle Africa,Africa,10.403
AUT,Austria,Western Europe,Europe,GBR,United Kingdom,Northern Europe,Europe,21.698
BEL,Belgium,Western Europe,Europe,GBR,United Kingdom,Northern Europe,Europe,29.142
FRA,France,Western Europe,Europe,GBR,United Kingdom,Northern Europe,Europe,149.872
DEU,Germany,Western Europe,Europe,GBR,United Kingdom,Northern Europe,Europe,322.22
NLD,Netherlands,Western Europe,Europe,GBR,United Kingdom,Northern Europe,Europe,68.489
CHE,Switzerland,Western Europe,Europe,GBR,United Kingdom,Northern Europe,Europe,21.458
FRA,France,Western Europe,Europe,GLP,Guadeloupe,Caribbean,Latin America and the Caribbean,55.739
DEU,Germany,Western Europe,Europe,GRC,Greece,Southern Europe,Europe,114.343
FRA,France,Western Europe,Europe,GUF,French Guiana,South America,Latin America and the Caribbean,20.934
